Company Name,Ticker,Exchange,GICS Sector,GICS Industry Group,GICS Industry,GICS Sub-Industry
Under Armour Inc,UAA,New York Stock Exchange Inc.,Consumer Discretionary,Consumer Durables and Apparel,Textiles Apparel and Luxury Goods,Apparel Accessories and Luxury Goods
Unilever PLC,ULVR,London Stock Exchange,Consumer Staples,Household and Personal Products,Personal Products,Personal Products
Unilever PLC,UL,New York Stock Exchange Inc.,Consumer Staples,Household and Personal Products,Personal Products,Personal Products
United Natural Foods Inc,UNFI,New York Stock Exchange Inc.,Consumer Staples,Food and Staples Retailing,Food and Staples Retailing,Food Distributors
United States Steel Corp,X,New York Stock Exchange Inc.,Materials,Materials,Metals and Mining,Steel
United Utilities Group PLC,UU.,London Stock Exchange,Utilities,Utilities,Water Utilities,Water Utilities
UnitedHealth Group Inc,UNH,New York Stock Exchange Inc.,Health Care,Health Care Equipment and Services,Health Care Providers and Services,Managed Health Care
Urban Outfitters Inc,URBN,Nasdaq,Consumer Discretionary,Retailing,Specialty Retail,Apparel Retail
UTStarcom Holdings Corp,UTSI,Nasdaq,Information Technology,Technology Hardware and Equipment,Communications Equipment,Communications Equipment
Vale SA,VALE3,B3 S.A.,Materials,Materials,Metals and Mining,Steel
Vedanta Ltd,500295,BSE LTD,Materials,Materials,Metals and Mining,Diversified Metals and Mining
Veeva Systems Inc,VEEV,New York Stock Exchange Inc.,Health Care,Health Care Equipment & Services,Health Care Technology,Health Care Technology
VEON Ltd,VEON,Nasdaq,Communication Services,Telecommunication Services,Wireless Telecommunication Services,Wireless Telecommunication Services
Vera Bradley Inc,VRA,Nasdaq,Consumer Discretionary,Consumer Durables and Apparel,Textiles Apparel and Luxury Goods,Apparel Accessories and Luxury Goods
Verisk Analytics Inc,VRSK,Nasdaq,Industrials,Commercial Services and Supplies,Professional Services,Research and Consulting Services
Verizon Communications Inc,VZ,New York Stock Exchange Inc.,Communication Services,Telecommunication Services,Diversified Telecommunication Services,Integrated Telecommunication Services
VF Corp,VFC,New York Stock Exchange Inc.,Consumer Discretionary,Consumer Durables and Apparel,Textiles Apparel and Luxury Goods,Apparel Accessories and Luxury Goods
Visa Inc,V,New York Stock Exchange Inc.,Information Technology,Software and Services,IT Services,Data Processing and Outsourced Services
Vodafone Group PLC,VOD,London Stock Exchange,Communication Services,Telecommunication Services,Wireless Telecommunication Services,Wireless Telecommunication Services
Vyant Bio Inc,VYNT,Nasdaq,Health Care,Pharmaceuticals Biotechnology & Life Sciences,Biotechnology,Biotechnology
Wabash National Corp,WNC,New York Stock Exchange Inc.,Industrials,Capital Goods,Machinery,Construction Machinery and Heavy Trucks
Walgreens Boots Alliance Inc,WBA,Nasdaq,Consumer Staples,Food & Staples Retailing,Food & Staples Retailing,Drug Retail
Walmart Inc,WMT,New York Stock Exchange Inc.,Consumer Staples,Food & Staples Retailing,Food & Staples Retailing,Hypermarkets & Super Centers
WD-40 Co,WDFC,Nasdaq,Consumer Staples,Household and Personal Products,Household Products,Household Products
Weg SA,WEGE3,B3 S.A.,Industrials,Capital Goods,Electrical Equipment,Electrical Components and Equipment
Wells Fargo & Co,WFC,New York Stock Exchange Inc.,Financials,Banks,Banks,Diversified Banks
Whitbread PLC,WTB,London Stock Exchange,Consumer Discretionary,Consumer Services,Hotels Restaurants and Leisure,Hotels Resorts and Cruise Lines
Williams-Sonoma Inc,WSM,New York Stock Exchange Inc.,Consumer Discretionary,Retailing,Specialty Retail,Homefurnishing Retail
Wipro Ltd,507685,BSE LTD,Information Technology,Software and Services,IT Services,IT Consulting and Other Services
Wuliangye Yibin Co Ltd,000858,Shenzhen Stock Exchange,Consumer Staples,Food Beverage and Tobacco,Beverages,Distillers and Vintners
Wyndham Hotels & Resorts Inc,WH,New York Stock Exchange Inc.,Consumer Discretionary,Consumer Services,Hotels Restaurants and Leisure,Hotels Resorts and Cruise Lines
Wynnstay Group PLC,WYN,London Stock Exchange,Consumer Staples,Food Beverage and Tobacco,Food Products,Agricultural Products
Xerox Holdings Corp,XRX,New York Stock Exchange Inc.,Information Technology,Technology Hardware & Equipment,Technology Hardware Storage & Peripherals,Technology Hardware Storage & Peripherals
Yes Bank Ltd,532648,BSE LTD,Financials,Banks,Banks,Diversified Banks
Yum Brands Inc,YUM,New York Stock Exchange Inc.,Consumer Discretionary,Consumer Services,Hotels Restaurants and Leisure,Restaurants
Zogenix Inc,ZGNX,Nasdaq,Health Care,Pharmaceuticals and Biotechnology,Pharmaceuticals,Pharmaceuticals
ZTO Express (Cayman) Inc,ZTO,New York Stock Exchange Inc.,Industrials,Transportation,Air Freight and Logistics,Air Freight and Logistics
